"N","rxx","bias","AbilityX","AbilitySD","PerceptionX","PerceptionSD","t.omni.t","t.omni.p","t.low.t","t.low.p","t.hi.t","t.hi.p"
40,0,0,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-4.17733779546278,0.00238549327246809,-4.17733779546278,0.00238549327246809
40,0,10,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-3.2774669978943,0.00956789810922314,-3.2774669978943,0.00956789810922314
40,0,20,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-5.70856671525662,0.00029113403700562,-5.70856671525662,0.00029113403700562
40,0,30,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-3.49143697096382,0.00681471950794002,-3.49143697096382,0.00681471950794002
40,0,40,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-6.53778792939722,0.000106668402407649,-6.53778792939722,0.000106668402407649
40,0,50,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-5.76361162287357,0.000271602803523967,-5.76361162287357,0.000271602803523967
40,0,60,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-7.66851969254747,3.09886703698786e-05,-7.66851969254747,3.09886703698786e-05
40,0,70,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-7.28963552733522,4.61558156666742e-05,-7.28963552733522,4.61558156666742e-05
40,0,80,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-6.26798276094407,0.00014645841871625,-6.26798276094407,0.00014645841871625
40,0,90,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-7.39962116862282,4.10505836882761e-05,-7.39962116862282,4.10505836882761e-05
40,0,100,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-9.98625428903524,3.61943678304287e-06,-9.98625428903524,3.61943678304287e-06
40,0.05,0,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-3.200415351715,0.0108240856346739,-3.200415351715,0.0108240856346739
40,0.05,10,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-3.75009511927959,0.0045540107616149,-3.75009511927959,0.0045540107616149
40,0.05,20,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-3.37801343435407,0.00815263189180313,-3.37801343435407,0.00815263189180313
40,0.05,30,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-3.71215341648912,0.00482886757246347,-3.71215341648912,0.00482886757246347
40,0.05,40,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-4.86428256962009,0.000890535979401681,-4.86428256962009,0.000890535979401681
